時間戳記,Vocab,meaning,詞性
2024/5/19 下午 5:50:16,Apple,蘋果,(n.)
2024/5/19 下午 6:01:08,Phone,電話,(n.)
2024/5/19 下午 6:01:41,Bridge,橋,(n.)
2024/5/19 下午 6:02:19,Camera,相機,(n.)
2024/5/19 下午 6:02:31,Dance,跳舞,(v.)
2024/5/19 下午 6:13:07,Enjoy,享受,(v.)
2024/5/19 下午 6:13:16,Fresh,新鮮的,(adj.)
2024/5/19 下午 6:13:23,Happy,快樂的,(adj.)
2024/5/19 下午 6:13:30,Island,島,(n.)
2024/5/19 下午 6:14:19,Jacket,夾克,(n.)
2024/5/19 下午 6:14:24,Listen,聽,(v.)
2024/5/19 下午 6:14:47,Market,市場,(n.)
2024/5/19 下午 6:14:53,Nature,自然,(n.)
2024/5/19 下午 6:15:05,Open,打開,(v.)
2024/5/19 下午 6:15:14,Quiet,安靜的,(adj.)
2024/5/19 下午 6:15:21,Run,跑,(v.)
2024/5/19 下午 6:15:30,Simple,簡單的,(adj.)
2024/5/19 下午 6:15:38,Travel,旅行,(v./n.)
2024/5/19 下午 6:15:45,Useful,有用的,(adj.)
2024/5/19 下午 6:15:52,Visit,訪問，參觀,(v./n.)
2024/5/19 下午 6:15:57,Winter,冬天,(n.)
